"구분","데이터ID","도시/지역코드","명칭(한글)","명칭(영문)","카테고리/유형","권장비용(KRW)","설명(한글)","설명(영문)","교통/상세정보","공식웹사이트/이미지","공공데이터출처"
"관광명소/체험","busan_gwangalli_night","BUSAN","광안리 해변 밤바다 & 광안대교 미디어파사드/드론라이트쇼 관람","Gwangalli Ocean Beach & Diamond Bridge Night View","명소","0","황홀한 광안대교 오색 LED 조명과 모래사장에서 감상하는 환상적인 매주 토요일 밤 드론 라이트쇼 관람","Glow of illuminated Gwangan Diamond Bridge over evening waves paired with spectacular weekly beachfront drone light shows","2호선 금련산역 1, 3번 출구 / 광안역 3, 5번 출구 (도보 8분)","https://www.suyeong.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_ddp_myeongdong","SEOUL","동대문디자인플라자(DDP) 건축 산책 & 명동 K-뷰티 로드","DDP Architecture & Myeongdong K-Beauty District","명소","0","자하 하디드의 미래형 곡선 건축 DDP와 글로벌 K-뷰티 플래그십 스토어 및 쇼핑 거리가 어우러진 도심 투어","Zaha Hadid's futuristic curved DDP architecture paired with global K-beauty flagship boutiques in bustling Myeongdong","2·4·5호선 동대문역사문화공원역 1번 출구 / 4호선 명동역 6번 출구","https://ddp.or.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","jeju_seongsan_ilchulbong","JEJU","유네스코 세계자연유산 성산일출봉 정상 트레킹 티켓","UNESCO Seongsan Ilchulbong Peak Trek Ticket","자연","5000","푸른 바다 위 우뚝 솟은 수성화산 분화구 정상에서 360도 파노라마 오션뷰와 일출을 감상하는 유네스코 세계자연유산","UNESCO World Natural Heritage volcanic tuff cone rising above the ocean with breathtaking 360-degree crater rim sunrise views","제주국제공항 급행 111, 112번 → 성산일출봉입구 하차 (도보 5분)","https://www.visitjeju.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","jeju_bijarim_forest","JEJU","천년 비자나무 숲길 피톤치드 힐링 산책로 (비자림 입장권)","Bijarim Ancient Nutmeg Tree Forest Trail","자연","3000","500~800년 된 비자나무 2,800여 그루가 군락을 이룬 세계 최대 규모의 비자나무 숲 붉은 송이 흙길 산책로","World's largest pristine forest of over 2,800 ancient nutmeg trees dating back 800 years, offering healing red scoria volcanic gravel trails","제주버스터미널 간선 260번 버스 → 비자림 정류장 하차 (도보 3분)","https://www.visitjeju.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","jeju_beaches_seopji","JEJU","에메랄드 함덕·협재 해변 및 섭지코지 해안 절경 둘레길","Hamdeok Emerald Coastline & Seopjikoji Scenic Walk","자연","0","투명한 에메랄드빛 바다와 야자수가 어우러진 함덕·협재 백사장과 붉은 화산재 언덕, 하얀 등대가 서 있는 섭지코지 해안 산책로","Crystal emerald shorelines lined with palm trees at Hamdeok & Hyeopjae beaches combined with breathtaking volcanic coastal cliffs of Seopjikoji","제주국제공항 급행 101, 102번 → 함덕해수욕장 / 섭지코지 입구","https://www.visitjeju.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_hangang_healing","SEOUL","여의도/뚝섬 한강공원 잔디밭 피크닉 & 힐링 산책","Hangang River Park Picnic & Sunset Walk","자연","0","탁 트인 한강 수변 잔디밭에서 텐트와 돗자리를 펴고 즐기는 피크닉과 해질녘 서울 스카이라인 노을 산책로","Leisurely riverside picnic on lush Hangang lawns paired with glowing sunset strolls along the iconic Seoul skyline","5호선 여의나루역 2번 출구 / 7호선 뚝섬유원지역 2번 출구 직결","https://hangang.seoul.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","gangneung_bts_bus_stop","GANGNEUNG","향호해변 BTS 버스정류장 & 주문진 도깨비 방파제 투어","Hyangho Beach BTS Bus Stop & Goblin Breakwater Walk","명소","0","BTS '봄날(Spring Day)' 앨범 재킷 촬영지인 향호해변 버스정류장 포토존과 드라마 '도깨비' 명장면 주문진 방파제 해변 산책","Iconic BTS 'You Never Walk Alone (Spring Day)' album cover bus stop photo zone and the romantic Guardian (Goblin) drama seaside breakwater","강릉역에서 시내버스 300, 302번 → 주문진해변·향호리 하차 (도보 5분)","https://www.gn.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","gangneung_arte_museum","GANGNEUNG","아르떼뮤지엄 강릉 몰입형 미디어아트 전시 입장권","ARTE Museum Gangneung Immersive Media Art Ticket","엔터","17000","강원도 백두대간과 동해의 자연을 디지털 빛과 소리로 재해석한 1,500평 규모의 압도적인 몰입형 미디어아트 전시관","Overwhelming 1,500-pyeong immersive media art museum reinterpreting Gangwon's majestic mountains and roaring ocean waves in dazzling light and sound","강릉역에서 버스 202번 탑승 → 난설헌로·녹색도시체험센터 하차 (도보 7분)","https://artemuseum.com/GANGNEUNG","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","gangneung_anmok_gyeongpo","GANGNEUNG","안목 커피거리 해변 산책로 & 경포호 힐링 자전거 둘레길","Anmok Coffee Street & Gyeongpo Lake Bicycle Trail","자연","0","동해안 푸른 파도를 감상하며 걷는 안목해변 커피거리 백사장과 솔숲 향 가득한 경포호수 4.3km 힐링 자전거 둘레길","Scenic sandy beachside walk along Anmok Coffee Street paired with peaceful 4.3km cycling trail circling pine-fringed Gyeongpo Lake","강릉역에서 버스 223, 503번 → 안목커피거리 하차 (도보 2분)","https://www.gn.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_seongsu_popup","SEOUL","성수동 팝업스토어 & 연무장길 스트리트 투어","Seongsu Pop-up Street Tour","쇼핑","0","트렌디한 팝업스토어와 플래그십 스토어가 즐비한 성수동 연무장길 패션·컬처 스트리트 투어","Trendy pop-up stores and flagship shops lining the Yeonmujang-gil fashion and culture district in Seongsu-dong","2호선 성수역 4번 출구 도보 3분","https://english.visitseoul.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_ddp_hongdae","SEOUL","DDP 미래형 건축 파크 & 홍대 버스킹 스트리트","DDP Architectural Walk & Hongdae Busking","엔터","0","자하 하디드의 유려한 DDP 곡선 건축미와 홍대 어울마당로의 열정적인 거리 버스킹 공연 산책","Zaha Hadid's futuristic DDP landmark paired with dynamic live youth busking on Hongdae Street","2·4·5호선 동대문역사문화공원역 1번 출구","https://ddp.or.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_n_tower","SEOUL","N서울타워 전망대 입장권 (야경 파노라마 뷰)","N Seoul Tower Observatory Ticket","명소","21000","남산 정상에서 360도 파노라마로 서울의 도심 스카이라인과 눈부신 야경을 감상하는 필수 전망대 티켓","Observation deck ticket offering 360-degree panoramic skyline night views atop Namsan Mountain","4호선 명동역 3번 출구 (남산 케이블카 환승)","https://www.nseoultower.co.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_blueline_park","BUSAN","해운대 블루라인파크 스카이캡슐 티켓","Haeundae Blueline Park Sky Capsule","엔터","35000","해운대 미포에서 청사포까지 해안 절벽 공중 레일 위를 달리는 프라이빗 스카이캡슐 탑승권","Private aerial Sky Capsule ticket gliding along the picturesque Haeundae coastal cliffs from Mipo to Cheongsapo","2호선 중동역 7번 출구 (미포정거장 도보 12분)","https://www.bluelinepark.com","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_ocean_night","BUSAN","더베이101 마린시티 반영 뷰 & 광안리 밤바다/드론쇼 투어","The Bay 101 & Gwangalli Night Ocean View","명소","0","더베이101 수변에서 즐기는 마린시티 마천루 반영 사진과 광안리 해변 밤바다 드론 라이트쇼 관람","Breathtaking Marine City skyscraper water reflections at The Bay 101 and illuminated Gwangalli drone light show","2호선 동백역 1번 출구 (도보 10분)","https://thebay101.com","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_mullae","SEOUL","문래창작촌 & 철공소 골목","Mullae Arts Village & Ironworks Alleys","명소","0","기계 소리 울리는 낡은 철공소 골목 사이에 빈티지 루프탑 카페와 와인바, 인디 갤러리가 숨어있는 한국 2030 뉴트로 핫플","Vibrant retro district where active ironworks factories harmonize with hidden rooftop cafes, indie galleries, and natural wine bars","2호선 문래역 7번 출구 도보 5분","https://english.visitseoul.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_seochon","SEOUL","서촌 세종마을 & 보안여관","Seochon Village & Boan Inn Art Space","명소","0","경복궁 서쪽 옛 문인들의 예술 터전으로 80년 역사의 보안여관 갤러리와 통인시장 기름떡볶이, 한옥 감성 카페가 이어지는 산책로","Historic literary village west of Gyeongbokgung Palace featuring 80-year-old Boan Inn art space and charming hanok cafes","3호선 경복궁역 2, 3번 출구 도보 5분","https://hanok.seoul.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_mangwon","SEOUL","망원한강공원 & 망리단길","Mangwon Hangang Park & Mangridan-gil","자연","0","망원시장의 닭강정과 고추튀김을 사들고 여유롭게 피크닉을 즐기는 한강 잔디밭과 아기자기한 독립 소품샵 골목길","Beloved local riverside retreat paired with Mangwon Market street snacks and quirky independent boutique cafes","6호선 망원역 2번 출구 도보 10분","https://hangang.seoul.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_yangjae","SEOUL","양재천 메타세쿼이아길 & 카페거리","Yangjaecheon Metasequoia Trail & Cafe Street","자연","0","도심 속 시원하게 뻗은 거대한 메타세쿼이아 가로수길 아래로 흐르는 맑은 개천과 감성 와인바, 테라스 브런치를 만나는 힐링 명소","Soaring metasequoia tree boulevard hugging the scenic stream, renowned for European terrace brunch cafes and sunset strolls","3호선·신분당선 양재시민의숲역 1, 2번 출구 도보 5분","https://english.visitseoul.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_bukhansan_ui","SEOUL","북한산 우이동 숲속 카페거리 & 백운대","Bukhansan Ui-dong Forest Cafe Street & Baegundae","자연","0","북한산 최고봉 백운대를 오르는 관문이자 시원한 우이계곡 물소리를 들으며 대형 베이커리 숲 카페에서 힐링하는 한국인 주말 쉼터","Gateway to Bukhansan's highest peak Baegundae, surrounded by murmuring stream valleys and spacious nature-themed bakery cafes","우이신설선 북한산우이역 2번 출구 도보 5분","https://www.knps.or.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_gyeongbokgung","SEOUL","경복궁","Gyeongbokgung Palace","명소","3000","조선 왕조 제1의 법궁으로 수문장 교대의식과 한복 착용 시 무료 입장이 가능한 필수 명소","The main royal palace of Joseon dynasty with free entry in Hanbok and royal guard ceremonies","3호선 경복궁역 5번 출구 (도보 3분) / 5호선 광화문역 2번 출구","https://www.royalpalace.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_nseoultower","SEOUL","N서울타워 전망대","N Seoul Tower Observatory","명소","21000","서울 시내 전체를 360도로 한눈에 조망하는 대표 야경 랜드마크","360-degree panoramic skyline view of Seoul","4호선 명동역 3번 출구 (남산케이블카 도보 10분) / 충무로역 01번 순환버스","https://www.nseoultower.co.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_gwanghwamun","SEOUL","광화문광장 & 세종대왕 동상","Gwanghwamun Square & King Sejong","명소","0","세종대왕과 이순신 장군 동상이 자리하고 북악산과 경복궁이 한눈에 펼쳐지는 역사·문화 중심 광장","The historic heart of Seoul featuring iconic statues of King Sejong the Great and Admiral Yi Sun-sin","5호선 광화문역 2, 9번 출구 직접 연결 / 3호선 경복궁역 6번 출구","https://gwanghwamun.seoul.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_seoulsky","SEOUL","롯데월드타워 서울스카이","Lotte World Tower Seoul Sky","명소","29000","세계 5위 높이(555m) 118층 초고층 타워에서 만나는 압도적인 스카이데크 유리 바닥 전망대","The 5th tallest building in the world (555m) featuring glass-floor sky decks and sweeping skyline views","2·8호선 잠실역 1, 2번 지하 연결","https://seoulsky.lotteworld.com","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_bukchon","SEOUL","북촌한옥마을","Bukchon Hanok Village","명소","0","경복궁과 창덕궁 사이 600년 역사를 간직한 수백 채의 전통 기와집과 감고당길 골목 투어 명소","Historic village nestled between royal palaces, home to hundreds of traditional Korean tile-roofed houses","3호선 안국역 2, 3번 출구 (도보 7분)","https://hanok.seoul.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_seongsu","SEOUL","성수동 연무장길","Seongsu-dong Yeonmujang-gil","쇼핑","0","서울의 브루클린으로 불리며 감각적인 패션 플래그십 팝업스토어와 트렌디한 베이커리 카페 거리","The 'Brooklyn of Seoul' buzzing with iconic fashion flagship pop-ups, artisanal cafes, and trendy bakeries","2호선 성수역 4번 출구 / 뚝섬역 5번 출구","https://english.visitseoul.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_hongdae","SEOUL","홍대 걷고싶은거리","Hongdae Walking Street","엔터","0","청춘과 버스킹의 중심지로 K-Pop 댄스 거리공연과 개성 넘치는 인디 숍들이 활기를 띠는 명소","Korea's youth culture hub packed with spontaneous K-Pop busking performances, indie art shops, and nightlife","2호선·공항철도·경의중앙선 홍대입구역 8, 9번 출구","https://english.visitseoul.net","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_gwangjang","SEOUL","광장시장","Gwangjang Market","전통시장","0","100년 전통의 대표 먹거리 시장으로 바삭한 녹두빈대떡, 마약김밥, 육회가 유명한 전통시장","Over 100 years of authentic street food heritage, famous for bindaetteok and mayak gimbap","1호선 종로5가역 8번 출구 / 2·5호선 을지로4가역 4번 출구","http://www.kwangjangmarket.co.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_namdaemun","SEOUL","남대문시장","Namdaemun Market","전통시장","0","600년 역사의 대한민국 최대 전통시장으로 갈치조림골목, 칼국수, 잡채호떡 등 먹거리와 잡화 쇼핑","Korea's largest traditional market with over 10,000 stalls offering local delicacies, fashion, and goods","4호선 회현역 5번 출구 (도보 1분)","https://english.visitseoul.net/attractions/Namdaemun-Market-Tourist-Information-Center/ENP027219","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_yeouido_hangang","SEOUL","여의도 한강공원","Yeouido Hangang Park","체험/휴식","0","잔디밭 피크닉, 즉석 한강 라면 먹방, 로맨틱한 한강 유람선을 즐기는 서울의 대표 수변 쉼터","Premier riverside leisure spot loved for lawn picnics, instant Hangang ramen dining, and river cruise tours","5호선 여의나루역 2, 3번 출구 (도보 2분)","https://hangang.seoul.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","seoul_national_museum","SEOUL","국립중앙박물관 (사유의 방)","National Museum of Korea","명소","0","반가사유상이 모셔진 한국 최고의 국립 박물관","Korea's flagship national museum featuring Room of Quiet Contemplation","4호선·경의중앙선 이촌역 2번 출구 박물관 나들길 지하연결","https://www.museum.go.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_hwangnyeongsan","BUSAN","황령산 봉수대 전망대","Hwangnyeongsan Beacon Observatory","명소","0","광안대교, 서면 도심, 부산항을 360도로 조망하는 부산 최고의 파노라마 야경 명소로 한국인 드라이브 1순위 코스","Premier 360-degree nightscape peak offering sweeping panoramas of Gwangan Bridge, Seomyeon, and Busan Harbor under starlight","2호선 금련산역 또는 시청역에서 택시 약 15분 (정상 주차장)","https://www.busan.go.kr/tour","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_yeonhwari","BUSAN","기장 연화리 해녀촌","Gijang Yeonhwa-ri Haenyeo Seafood Village","쇼핑","15000","바다 바로 앞 포장마차 평상에서 가마솥 전복죽과 싱싱한 해삼, 멍게, 산낙지 해산물 모둠을 맛보는 한국 로컬 미식 성지","Traditional seaside tent village where female divers serve rich boiling abalone porridge and freshly caught wild seafood platters","오시리아역에서 버스 139번 (연화리 정류장 하차 도보 3분)","https://www.gijang.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_cheonghak","BUSAN","영도 산복도로 & 청학배수지전망대","Yeongdo Sanbok-doro & Cheonghak Reservoir Observatory","명소","0","오래된 부둣가 골목 위로 우뚝 솟은 부산항대교의 일곱 빛깔 LED 조명과 항만 크레인 야경을 영화처럼 담는 로컬 사진 명소","Scenic hillside road offering cinematic views of illuminated Busan Harbor Bridge and active maritime shipping docks","남포역 6번 출구에서 영도 버스 9, 82번 (청학배수지 하차)","https://www.yeongdo.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_amisan","BUSAN","다대포 아미산전망대 & 모래톱 낙조","Dadaepo Amisan Observatory & Sandbar Sunset","자연","0","낙동강 민물과 남해 바다가 빚어낸 천혜의 삼각주 모래톱과 붉게 타오르는 석양을 감상하는 한국인 출사 및 일몰 명소","Stunning geological observatory overlooking pristine tidal sandbars where the Nakdong River merges into glowing sunset waters","1호선 다대포해수욕장역 1번 출구에서 마을버스 사하구 3-1번","https://www.saha.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_beomeosa","BUSAN","금정산 범어사 & 천년솔숲","Geumjeongsan Beomeosa Temple & Pine Forest","명소","0","신라 문무왕 때 창건된 영남 3대 사찰로 등나무 군락지와 울창한 대나무 숲길, 계곡을 따라 걷는 한국인 힐링 템플로드","Thousand-year-old mountain temple nestled in Geumjeongsan slopes, renowned for tranquil wisteria valleys and bamboo forests","1호선 범어사역 5, 7번 출구 사이 버스 정류장에서 90번 버스 (범어사 매표소)","http://www.beomeo.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_haeundae","BUSAN","해운대 해수욕장","Haeundae Beach","자연","0","부산을 대표하는 세계적인 도심 해변으로 탁 트인 백사장과 해안 산책로, 빌딩 숲이 어우러진 휴양 명소","Busan's most iconic coastal beach with vast sand, seaside promenade, and vibrant skyline","2호선 해운대역 3, 5번 출구 (도보 8분)","https://www.haeundae.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_gamcheon","BUSAN","감천문화마을","Gamcheon Culture Village","명소","0","계단식 파스텔톤 가옥과 미로 골목, 어린왕자 포토존이 매력적인 문화마을","Vibrant hillside village featuring pastel houses, maze alleys, and Little Prince photo spot","1호선 토성역 6번 출구 → 사하1-1, 서구2 마을버스 환승","https://www.gamcheon.or.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_gwangalli","BUSAN","광안리 해수욕장 & 드론쇼","Gwangalli Beach & Drone Light Show","명소","0","광안대교 다이아몬드 야경과 토요일 밤을 수놓는 환상적인 드론 라이트 쇼","Iconic Gwangan Bridge night views and Saturday night drone light show","2호선 광안역 3, 5번 출구 (도보 10분) / 금련산역","https://www.suyeong.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_haedong","BUSAN","해동용궁사","Haedong Yonggungsa Temple","명소","0","푸른 동해 바다 깎아지른 바위 절벽 위에 세워진 신비로운 해안 사찰","Stunning Buddhist temple perched directly on seaside cliffs with sunrise views","동해선 오시리아역 1번 출구 → 139, 1001번 버스 환승","http://www.yongkungsa.or.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_blueline","BUSAN","해운대 블루라인파크","Haeundae Blueline Park","엔터","16000","옛 철길을 따라 바다 위를 달리는 해변열차와 공중 스카이캡슐 액티비티","Scenic coastal train and aerial Sky Capsule ride along ocean tracks","2호선 중동역 7번 출구 (미포정거장 도보 12분)","https://www.bluelinepark.com","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_jagalchi","BUSAN","자갈치시장","Jagalchi Fish Market","쇼핑","0","대한민국 최대 수산시장으로 싱싱한 활어회와 포장마차의 활기찬 에너지","Korea's largest seafood market with fresh sashimi and lively stalls","1호선 자갈치역 10번 출구 (도보 3분) / 남포역 2번 출구","http://jagalchimarket.bisco.or.kr","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_biff_gukje","BUSAN","BIFF 광장 & 국제시장","BIFF Square & Gukje Market","쇼핑","0","명물 씨앗호떡 등 길거리 K-푸드와 레트로 만물 쇼핑의 천국","Iconic street food hub famous for Busan seed hotteok and vintage shopping","1호선 자갈치역 7번 출구 (도보 2분) / 남포역 1번 출구","https://www.bsjunggu.go.kr/tour/","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
"관광명소/체험","busan_huinnyeoul","BUSAN","흰여울문화마을","Huinnyeoul Culture Village","명소","0","영도 해안 절벽 골목길과 오션뷰 카페, 해안터널 포토존 명소","Scenic cliffside village in Yeongdo with cozy cafes and coastal tunnel","1호선 남포역 6번 출구 → 6, 7, 70, 71, 508번 버스 환승","https://www.yeongdo.go.kr/tour/01502/01503.web","한국관광공사 TourAPI 4.0 및 HypeHeritage 정제 DB"
